Tаблица 1;;;;;;;;
сеть;протокол;группа тикеров;тикер;риск;apr;сайт пула;протокол + тикер;ссылка defilama
ethereum;morpho;stables;gauntlet eUSD core;a;9,14%;https://app.morpho.org/ethereum/vault/0xc080f56504e0278828A403269DB945F6c6D6E014/gauntlet-eusd-core;morpho gauntlet eUSD core;https://defillama.com/yields/pool/456f5bec-a81b-4862-926b-e9e00c97e7c7
ethereum;morpho;stables;gauntlet USDC core;a;5,32%;https://app.morpho.org/ethereum/vault/0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458/gauntlet-usdc-core;morpho gauntlet USDC core;https://defillama.com/yields/pool/468e4c2c-02df-427a-b2c7-5cea3a77014a
ethereum;morpho;stables;gauntlet USDC frontier;a;7,00%;https://app.morpho.org/ethereum/vault/0xc582F04d8a82795aa2Ff9c8bb4c1c889fe7b754e/gauntlet-usdc-frontier;morpho gauntlet USDC frontier;https://defillama.com/yields/pool/51b5c6c2-d2f2-45f6-95b0-314efbfae6d7
ethereum;morpho;stables;gauntlet USDC prime;a;4,00%;https://app.morpho.org/ethereum/vault/0xdd0f28e19C1780eb6396170735D45153D261490d/gauntlet-usdc-prime;morpho gauntlet USDC prime;https://defillama.com/yields/pool/ab439af4-9978-4542-bc65-2772dfb79e50
ethereum;morpho;stables;smokehouse usdc;a;5,98%;https://app.morpho.org/ethereum/vault/0xBEeFFF209270748ddd194831b3fa287a5386f5bC/smokehouse-usdc;morpho smokehouse usdc;https://defillama.com/yields/pool/6fcfa6f7-861f-4d50-b594-190f4be37abf
ethereum;morpho;stables;stakehouse USDC;a;4,00%;https://app.morpho.org/ethereum/vault/0xBEEF01735c132Ada46AA9aA4c54623cAA92A64CB/steakhouse-usdc;morpho stakehouse USDC;https://defillama.com/yields/pool/a44febf3-34f6-4cd5-8ab1-f246ebe49f9e
ethereum;pendle;stables;pt crvusd;a;9,00%;https://app.pendle.finance/trade/markets/0x2bf616c236d1abd31ff105247a774e6e738b5f4e/swap?view=pt&chain=ethereum;pendle pt crvusd;
ethereum;pendle;stables;pt eusde;a;7,30%;https://app.pendle.finance/trade/markets/0x9df192d13d61609d1852461c4850595e1f56e714/swap?view=pt&chain=ethereum;pendle pt eusde;
ethereum;pendle;stables;pt susde;a;7,80%;https://app.pendle.finance/trade/markets/0x4339ffe2b7592dc783ed13cce310531ab366deac/swap?view=pt&chain=ethereum;pendle pt susde;
ethereum;pendle;stables;pt usdc aave;a;3,70%;https://app.pendle.finance/trade/markets/0x8539b41ca14148d1f7400d399723827a80579414/swap?view=pt&chain=ethereum;pendle pt usdc aave;
ethereum;pendle;stables;pt usdc fluid;a;6,44%;https://app.pendle.finance/trade/markets/0x925cd38a68993819eef0138a463308c840080f17/swap?view=pt&chain=ethereum;pendle pt usdc fluid;
ethereum;sky;stables;usds;aa;4,50%;https://app.spark.fi/;sky usds;https://defillama.com/yields/pool/d8c4eff5-c8a9-46fc-a888-057c4c668e72
ethereum;aave;eth;eth;aaa;2,04%;https://app.aave.com/reserve-overview/?underlyingAsset=0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2&marketName=proto_mainnet_v3;aave eth;https://defillama.com/yields/pool/e880e828-ca59-4ec6-8d4f-27182a4dc23d
ethereum;compound;eth;eth;aaa;2,83%;https://app.compound.finance/?market=weth-mainnet;compound eth;https://defillama.com/yields/pool/1e5da7c6-59bb-49bd-9f97-4f4fceeffad4
ethereum;euler;eth;prime wETH;a;6,46%;https://app.euler.finance/vault/0xD8b27CF359b7D15710a5BE299AF6e7Bf904984C2?network=ethereum;euler prime wETH;
ethereum;fluid;eth;wETH;a;1,89%;https://fluid.io/lending/1/WETH;fluid wETH;
ethereum;fluid;eth;wstETH;a;2,95%;https://fluid.io/lending/1/wstETH;fluid wstETH;
ethereum;lido;eth;eth;aaa;2,80%;https://stake.lido.fi/;lido eth;https://defillama.com/yields/pool/747c1d2a-c668-4682-b9f9-296708a3dd90
ethereum;mellow;eth;rstETH;a;2,80%;https://app.mellow.finance/vaults/ethereum-rsteth;mellow rstETH;
ethereum;morpho;eth;gauntlet wETH core;a;5,65%;https://app.morpho.org/ethereum/vault/0x4881Ef0BF6d2365D3dd6499ccd7532bcdBCE0658/gauntlet-weth-core;morpho gauntlet wETH core;
ethereum;morpho;eth;gauntlet wETH prime;a;2,28%;https://app.morpho.org/ethereum/vault/0x2371e134e3455e0593363cBF89d3b6cf53740618/gauntlet-weth-prime;morpho gauntlet wETH prime;https://defillama.com/yields/pool/85be31a9-9082-46b7-8b55-945aac96d014
ethereum;morpho;eth;mev capital ETH;a;7,00%;https://app.morpho.org/ethereum/vault/0x9a8bC3B04b7f3D87cfC09ba407dCED575f2d61D8/mev-capital-weth;morpho mev capital ETH;https://defillama.com/yields/pool/e6fe542f-e35f-445e-8465-cebc8cd37967
ethereum;morpho;eth;re7 wETH;a;5,37%;https://app.morpho.org/ethereum/vault/0x78Fc2c2eD1A4cDb5402365934aE5648aDAd094d0/re7-weth;morpho re7 wETH;https://defillama.com/yields/pool/bf3815bb-1059-4f24-90a3-14998e8493fa
ethereum;morpho;eth;stakehouse ETH;a;2,26%;https://app.morpho.org/ethereum/vault/0xBEEf050ecd6a16c4e7bfFbB52Ebba7846C4b8cD4/steakhouse-eth;morpho stakehouse ETH;https://defillama.com/yields/pool/3925e26d-d104-4d4f-88c7-205c00399598
ethereum;symbiotic;eth;gauntlet gtrwstETH ;a;;https://app.symbiotic.fi/vault/0xc10A7f0AC6E3944F4860eE97a937C51572e3a1Da;symbiotic gauntlet gtrwstETH ;
ethereum;curve;defi;crv;aaa;2,70%;https://crvhub.com/;curve crv;
ethereum;curve;btc;tBTC/cbBTC;aa;4,00%;https://curve.fi/dex/ethereum/pools/factory-stable-ng-266/deposit/;curve tBTC/cbBTC;https://defillama.com/yields/pool/361a79a4-b0aa-4d0f-91a3-7fd9712b8c66
ethereum;curve;btc;tBTC/wBTC;a;0,52%;https://curve.fi/dex/ethereum/pools/factory-crvusd-16/deposit/;curve wBTC/tBTC;https://defillama.com/yields/pool/3dadbe45-e87f-43a5-820a-20c908bef612
ethereum;curve;btc;wBTC/cbBTC;aa;0,76%;https://curve.fi/dex/ethereum/pools/factory-stable-ng-264/deposit/;curve wBTC/cbBTC;https://defillama.com/yields/pool/f194f422-b98a-4103-81d7-51bf6464d58b
ethereum;euler;btc;prime cbBTC;a;2,80%;https://app.euler.finance/vault/0x056f3a2E41d2778D3a0c0714439c53af2987718E?network=ethereum;euler prime cbBTC;https://defillama.com/yields/pool/ac164d4e-855d-4eed-bebf-0c04c0fac54b
ethereum;morpho;btc;gauntlet cbbtc core;a;0,54%;https://app.morpho.org/ethereum/vault/0xF587f2e8AfF7D76618d3B6B4626621860FbD54e3/gauntlet-cbbtc-core;morpho gauntlet cbbtc core;https://defillama.com/yields/pool/c97627c2-1ae8-48dc-92c4-4d265511d7d0
ethereum;morpho;btc;mev capital cbbtc;a;0,54%;https://app.morpho.org/ethereum/vault/0x98cF0B67Da0F16E1F8f1a1D23ad8Dc64c0c70E0b/mev-capital-cbbtc;morpho mev capital cbbtc;https://defillama.com/yields/pool/1d5162d1-a836-429f-9eec-50d6ef592e1f
ethereum;morpho;btc;smokehouse cbBTC;a;0,04%;https://app.morpho.org/ethereum/vault/0xbEEF8DF2Ce4BaB5420123F9BF80dea4c65673257/smokehouse-cbbtc;morpho smokehouse cbBTC;https://defillama.com/yields/pool/c6b26005-8d8d-4e30-87be-6294d6c0635d
ethereum;pendle;btc;pt WBTC;a;2,50%;https://app.pendle.finance/trade/markets/0x461cd9222e130d1dc0bd79dab4643952430937c1/swap?view=pt&chain=ethereum;pendle pt WBTC;https://defillama.com/yields/pool/0cb08169-7e04-4da8-a11a-821c69d2a93e
base;aave;stables;usdc;aaa;3,30%;https://app.aave.com/reserve-overview/?underlyingAsset=0x833589fcd6edb6e08f4c7c32d4f71b54bda02913&marketName=proto_base_v3;aave usdc;https://defillama.com/yields/pool/7e0661bf-8cf3-45e6-9424-31916d4c7b84
base;compound;stables;usdc;aaa;3,82%;https://app.compound.finance/?market=usdc-basemainnet;compound usdc;https://defillama.com/yields/pool/0c8567f8-ba5b-41ad-80de-00a71895eb19
base;euler;stables;base USDC;a;5,25%;https://app.euler.finance/vault/0x0A1a3b5f2041F33522C4efc754a7D096f880eE16?network=base;euler base USDC;
base;euler;stables;base USDS;a;5,33%;https://app.euler.finance/vault/0x556d518FDFDCC4027A3A1388699c5E11AC201D8b?network=base;euler base USDS;
base;fluid;stables;sUSDS;a;4,50%;https://fluid.io/lending/8453/sUSDS;fluid sUSDS;
base;fluid;stables;USDC;a;5,22%;https://fluid.io/lending/8453/USDC;fluid USDC;https://defillama.com/yields/pool/7372edda-f07f-4598-83e5-4edec48c4039
base;morpho;stables;gauntlet USDC core;a;5,12%;https://app.morpho.org/base/vault/0xc0c5689e6f4D256E861F65465b691aeEcC0dEb12/gauntlet-usdc-core;morpho gauntlet USDC core;https://defillama.com/yields/pool/34d90c49-da88-49b2-937e-04c2b1f5d7fe
base;morpho;stables;gauntlet USDC prime;a;5,11%;https://app.morpho.org/base/vault/0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61/gauntlet-usdc-prime;morpho gauntlet USDC prime;https://defillama.com/yields/pool/ab439af4-9978-4542-bc65-2772dfb79e50
base;morpho;stables;seamless USDC gauntlet;a;5,65%;https://app.morpho.org/base/vault/0x616a4E1db48e22028f6bbf20444Cd3b8e3273738/seamless-usdc-vault;morpho seamless USDC gauntlet;https://defillama.com/yields/pool/4a22de3c-271e-4152-b8d8-29053de06f37
base;morpho;stables;spark USDC vault;a;5,16%;https://app.morpho.org/base/vault/0x7BfA7C4f149E7415b73bdeDfe609237e29CBF34A/spark-usdc-vault;morpho spark USDC vault;https://defillama.com/yields/pool/9f146531-9c31-46ba-8e26-6b59bdaca9ff
base;morpho;stables;stakehouse USDC;a;5%;https://app.morpho.org/base/vault/0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183/steakhouse-usdc;morpho stakehouse USDC;https://defillama.com/yields/pool/3ad60cb7-74db-448b-9e3b-e6af576e697f
base;aerodrome;liq;CL100-WETH/USDC concentrated volatile 100;a;14,00%;https://aerodrome.finance/deposit?token0=0x4200000000000000000000000000000000000006&token1=0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913&type=100&chain=8453&factory=0x5e7BB104d84c7CB9B682AaC2F3d509f5F406809A&alm=0xcd975e6a5F55137755487F0918b8ca74aCCe7925;aerodrome CL100-WETH/USDC concentrated volatile 100;
base;aerodrome;liq;vAMM-WETH/USDC basic volatile;a;14,00%;https://aerodrome.finance/deposit?token0=0x4200000000000000000000000000000000000006&token1=0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913&type=-1&chain=8453&factory=0x420DD381b31aEf6683db6B902084cB0FFECe40Da;aerodrome vAMM-WETH/USDC basic volatile;https://defillama.com/yields/pool/5d3c8dc7-276d-4bbe-8a98-6d75770fada8
base;aave;eth;eth;aaa;1,99%;https://app.aave.com/reserve-overview/?underlyingAsset=0x4200000000000000000000000000000000000006&marketName=proto_base_v3;aave eth;https://defillama.com/yields/pool/23405eee-97e7-4b8e-8625-19c3a36047e8
base;compound;eth;eth;aaa;3,13%;https://app.compound.finance/?market=weth-basemainnet;compound eth;https://defillama.com/yields/pool/7993b97d-12c3-4a36-b6b6-5b37bac4f8ae
base;curve;eth;cbeth/weth;aaa;6,4%;https://curve.fi/dex/base/pools/factory-crypto-1/deposit/;curve cbeth/weth;https://defillama.com/yields/pool/475d7ab5-a4b8-4400-ad1c-94ef9e8bdfe3
base;euler;eth;base wETH;a;5,51%;https://app.euler.finance/vault/0x859160DB5841E5cfB8D3f144C6b3381A85A4b410?network=base;euler base wETH;
base;fluid;eth;wstETH;a;3,00%;https://fluid.io/lending/8453/wstETH;fluid wstETH;
base;morpho;eth;gauntlet wETH core;a;3,16%;https://app.morpho.org/base/vault/0x6b13c060F13Af1fdB319F52315BbbF3fb1D88844/gauntlet-weth-core;morpho gauntlet wETH core;https://defillama.com/yields/pool/106aff6b-42da-4d79-acb5-a88086f9e884
base;morpho;eth;seamless wETH gauntlet;a;4,5%;https://app.morpho.org/base/vault/0x27D8c7273fd3fcC6956a0B370cE5Fd4A7fc65c18/seamless-weth-vault;morpho seamless wETH gauntlet;https://defillama.com/yields/pool/df16d442-47a9-4725-a9a0-d9ce8096562d
base;pendle;eth;cbeth;a;2,96%;https://app.pendle.finance/trade/markets/0x483f2e223c58a5ef19c4b32fbc6de57709749cb3/swap?view=pt&chain=base;pendle cbeth;https://defillama.com/yields/pool/b82d1970-3606-4363-a10e-180159fe8242
base;aave;btc;cbbtc;aaa;0,04%;https://app.aave.com/reserve-overview/?underlyingAsset=0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf&marketName=proto_base_v3;aave cbbtc;https://defillama.com/yields/pool/89bc7c4c-d71c-435c-ab28-56c803d51320
base;aerodrome;btc;cbbtc/tbtc basic stable;aa;0,79%;https://aerodrome.finance/deposit?token0=0x236aa50979d5f3de3bd1eeb40e81137f22ab794b&token1=0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf&type=0&chain0=8453&chain1=8453&factory=0x420DD381b31aEf6683db6B902084cB0FFECe40Da;aerodrome cbbtc/tbtc basic stable;https://defillama.com/yields/pool/8b1f0de0-6ff5-47d1-855b-bd9bb87264cc
base;aerodrome;btc;cbbtc/tbtc concentrated stable 1;aa;0,79%;https://aerodrome.finance/deposit?token0=0x236aa50979d5f3de3bd1eeb40e81137f22ab794b&token1=0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf&type=1&chain0=8453&chain1=8453&factory=0x5e7BB104d84c7CB9B682AaC2F3d509f5F406809A;aerodrome cbbtc/tbtc concentrated stable 1;
base;euler;btc;base cbBTC;a;3,26%;https://app.euler.finance/vault/0x882018411Bc4A020A879CEE183441fC9fa5D7f8B?network=base;euler base cbBTC;
base;morpho;btc;gauntlet cbBTC core;a;0,58%;https://app.morpho.org/base/vault/0x6770216aC60F634483Ec073cBABC4011c94307Cb/gauntlet-cbbtc-core;morpho gauntlet cbBTC core;https://defillama.com/yields/pool/9ad2bfd2-bf97-4585-b752-d931e6f66ac1
base;morpho;btc;seamless cbBTC gauntlet;a;2,69%;https://app.morpho.org/base/vault/0x5a47C803488FE2BB0A0EAaf346b420e4dF22F3C7/seamless-cbbtc-vault;morpho seamless cbBTC gauntlet;https://defillama.com/yields/pool/1b174b02-1409-41bc-bead-549181e13c55
;;;;;;; ;
;;;;;;; ;
;;;;;;; ;
;;;;;;; ;
;;;;;;; ;
